Constraint Type;Run Number;Duration;Result
constrained;47.1;[0.8328001499176025, 3.612818956375122, 1.6474599838256836, 2.006467819213867, 2.569537878036499];Incorrect
constrained;18.1;[1.5197288990020752, 1.782515048980713, 1.7168378829956055, 1.1101109981536865, 14.463592767715454];Incorrect
constrained;28.1;[1.682197093963623, 1.3796989917755127, 2.9962680339813232, 3.0528550148010254, 2.8780038356781006];Incorrect
constrained;38.1;[1.8353090286254883];Correct
constrained;48.1;[5.390410900115967, 3.299431800842285, 4.330424070358276, 1.1590080261230469, 1.7030649185180664];Incorrect
constrained;19.1;[1.2006120681762695, 5.672347784042358, 3.5238959789276123, 2.6916139125823975, 2.685122013092041];Incorrect
constrained;29.1;[2.6416778564453125, 2.122889995574951, 1.0547780990600586, 2.289691925048828, 2.412065029144287];Correct
constrained;39.1;[3.558061122894287, 1.6356170177459717, 0.9738399982452393, 1.274986982345581, 0.9501466751098633];Incorrect
constrained;49.1;[1.9686877727508545, 2.1956470012664795, 1.033862829208374, 2.0102291107177734, 3.092255115509033];Incorrect
unconstrained;13;[1.8373258113861084, 1.3613722324371338, 1.8515350818634033, 1.5709776878356934, 2.3952648639678955];Incorrect
unconstrained;24;[1.77024507522583];Correct
unconstrained;34;[1.3208069801330566];Correct
unconstrained;46;[3.237941026687622, 2.041168212890625, 3.121272087097168, 2.4844682216644287, 4.977206230163574];Incorrect
constrained;43.1;[2.349968910217285, 1.1042602062225342, 3.2742197513580322, 3.042565107345581, 1.9768271446228027];Incorrect
constrained;35.1;[1.1728529930114746];Correct
